index	dev_index	question1	cues	question2	cues	judgment	is_important	
28	9232	How do I message someone on Facebook without becoming friends?	without [7]	Will it show me if someone has seen their message even if we are not friends?	not [14]	0	No	
29	4968	How do I get 8 ball pool coins using hack generator without paying any money?	without [11]	How can I add unlimited resources in my 8 Ball Pool Hack game?	unlimited [4]	1	No	
30	4092	How do I start answering questions on Chegg as I can't see any option on my homepage?	n't [11]	How do you see the answers on Chegg?		0	No	
31	5551	BBC podcasts ‘we are not Madrasi’, a comedy on North vs South in India. South Of India video on Youtube is now trending World-wide?	not [5]	Why is South India much more educated than North India?		0	No	
32	17177	When Jesus spoke with Pontius Pilate, what language did he use: Greek, Aramaic or Latin? Could Pilate speak Aramaic or Greek?		Hdfs is immutable table then how does update is supportedin hive?	immutable [2]	0	No	
33	29262	How can we see black holes if light does not escape? Doesn't this mean that the hole does not reflect light?	not [9] | not [20]	How can we see black holes if light does not escape? Doesn't this mean that it does not reflect light?	not [9] | not [19]	1	No	
34	2255	Have you ever seen a BEK (black-eyed kid) or adult? I'm talking about these apparently non-human entities who ask to be invited into homes.	non [21]	I was asked in a job interview if I'm married or have children. Who do I report these inappropriate questions to (NYC)?		0	No	
35	26054	What is the meaning of the ending dialogue from the movie""Batman: The Dark Knight"" when Lt. James Gordon says, ""Because he's the hero Gotham deserves, but not the one it needs right now,"" about Batman?	not [36]	What is the summary of the movie Batman: The Dark Knight?		0	No	
36	2235	Can you get pregnant without being fertilized?	without [4]	Can you get pregnant if you are a virgin?		0	No	
37	37023	What is taking ecstasy like?		Is it possible that ecstasy doesn't work for some people taking the same amount as others?	n't [6]	0	No	
38	29059	Generally, petrol engines have a compression ratio of 9:1 to 12:1. Why can't it be like 15:1 or more? What might be the consequences?	n't [15]	How powerful can you tune a 1.3 liter engine?		0	No	
39	26168	When would someone use Apache Tez instead of Apache Spark, or vice versa?		I have existing MR app that can run on YARN. Can I run this app on Tez on YARN without any modification? If not, will it be possible in future?	without [20] | not [25]	0	No	
40	18773	What would happen if I filed a stolen property report and the person moved out of state?		If my cell phone is stolen and I haven't received any report of my complaint from the police, can I file an RTI regarding what efforts the police has taken to find my cell phone?	n't [9]	0	No	
41	25220	How does neglecting a child, while the parents have all the resources not to do so, affect the child’s life?	not [13]	How do I raise a child so he/she doesn't become a narcissist in the future?	n't [11]	0	No	
42	24137	I am turning 25 in about a month and am currently questioning what I am doing with my life. I have no degree although I do have some college. I am currently at a 9-5 with a bike company. I am an avid cyclist. So it is not terrible, but the pay would not allow me to start a family or get married. Should I quit my job and go back to school?	no [22] | not [53] | not [60]	I'm serving a 4-year enlistment with the Marines, I have no college degree yet. What should I do to become a pilot? Join the AF, Navy?	no [12]	0	No	
43	35146	Do people ever get restraining orders for simple harassment?		How are people compensated for having restraining orders issued against them and losing their rights to bear arms if they are found not guilty?	not [22]	0	No	
44	24471	What is the average monthly rent for a studio in Zürich?		Some people have so much money and some have barely little to survive.. poor does not have money to get food to eat.. why so much variation?	not [16]	0	No	
45	17338	Why am I not curious?	not [3]	Why am I always curious?		0	Yes	
46	27330	What is meant by unbilled amount in postpaid connection?	unbilled [4]	How do I find a mobile number prepaid or postpaid?		0	No	
47	10495	Why are liberals trying to violate my second amendment rights?		Why aren't known violations of CP symmetry used to define terms ""left"" and ""right""?	n't [3]	0	No	
48	34664	Are there people who actually dont like getting gifts on Christmas?	nt [6]	Do most people who celebrate Christmas actually know that it is based on a Pagan festival?		0	No	
49	16452	Can I get jio sim am 17 and have aadhar card?		Can I get a Jio sim through my Aadhar Card, if I am not 18?	not [14]	0	No	
50	19094	What hotel in Malakkappara Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	unmarried [11] | without [14]	What hotel in Biligiri Hills Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	unmarried [12] | without [15]	0	No	
51	21833	What are some examples of sentences using the word ""incredulously""?	incredulously [12]	What are some examples of sentences using the word ""articulate""?		0	No	
52	29116	What if the iberian union never fell?	never [5]	I had atrempted 85 question in IBPS PO Mains with approx. 90% accuracy but unfortunately I did not make in it , I cannot find out where do I lack?	unfortunately [16] | not [19] | not [26]	0	No	
53	35440	If one day is not exactly 24 hours and is in fact 23 hours 56 minutes, shouldn't the error add up, and shouldn't we see 12 midnight becoming 12 noon at some point in time?	not [4]	Is 12:00-12:59 noon before 1:00 considered still noon or afternoon? And is 12:00-12:59 midnight before 1:00 still midnight or the morning?		0	No	
54	20616	How many trees are cut down a day for paper?		How can I kill a tree without cutting it?	without [6]	0	No	
55	36932	How do we know what we don’t know?	n’t [7]	How would I know what I like to do?		0	No	
56	8538	Which granite is a good match for White Shaker Cabinets?		I got call letter for SSB UES entry (Navy), but I have active backlog shall I attend the interview or no?	no [23]	0	No	
57	497	How much fluoride is absorbed into your bloodstream when you brush your teeth, and how does this compare to the amount of fluorine that would be found normally in those who don't use fluoride toothpaste or mouthwash or drink fluoridated water?	n't [33]	Why is fluoride put in water?		0	No	
58	20150	What should I do while visiting Singapore?		What should I not do when I visit Singapore?	not [3]	0	Yes	
59	28183	Why can't you eat 24 hours before surgery?	n't [2]	Why do you have to fast before surgery?		1	Yes	
60	28034	Is there any app that can tell me about my carbon footprint or monitor it?		Why don't Indian politicians speak about campaign finance reform eventhough it is the most effective way to reduce corruption and “PAYtoPLAY”politics?	n't [2]	0	No	
61	39032	Why do so many people think that people have souls despite absolutely no scientific evidence of this what so ever?	no [12]	Why do so many people believe in the existence of the soul when there is no evidence of it?	no [15]	1	No	
62	1868	Why can't I just be the robot of an all good God who designs my life in a creative and unique way?	n't [2]	Do harward teach data science free?		0	No	
63	14081	Is it possible to flash a custom ROM without rooting the Android device?	without [8]	How can I run Kali Linux on the Android device without rooting?	without [10]	0	No	
64	13937	Is Captain America the worst and the weakest superhero in Avengers Series? Why is he so hyped even though he doesn't have much powers?	n't [22]	What can Captain America do without his shield? Why is he even considered a superhero?		1	-1	
65	11037	I'm not sure if I'm bisexual or pansexual. How do I know?	not [2]	How do you know if you are bisexual?		0	-1	
66	13572	Where can I get photoshop without having to pay monthly?	without [5]	If I get Photoshop and I stop paying for it, can I resubscribe later, whenever I need it?		0	No	
67	10790	Is it possible to use the internet on a phone without Wi-Fi or mobile data?	without [10]	How can I minimize the mobile charges by using Wi-Fi or mobile networks?		0	No	
68	35132	If energy is not conserved in an expanding universe, can infinite energy be created? Is it potential energy or potentiality infinite?	not [3]	Is vacuum energy infinite?		1	No	
69	14620	Are you looked down upon if you did not graduate from the school of business at your undergraduate university?	not [8]	Is it possible for the bank branch code of two branches to be the same?		0	No	
70	15783	What is timeless 80's classic that was unfortunately forgotten?	timeless [2] | unfortunately [8]	How is life in 80's and 90's in India?		0	No	
71	1453	You push backward against the ground to move a skateboard forward. The force you make acts against the ground. What force acts against you to move you forward?		How do objects move if there is no net force acting upon it?	no [7]	0	No	
72	33062	Is it ever okay not to add work experience to your job applications?	not [4]	I will love a girl because of her sweet personality so I find true love without reason stupid. Do you think that true love without reason is stupid?	without [15] | without [25]	0	No	
73	23283	Why does Quora tell me that I asked ""What is your question?"" when I actually didn't?	n't [22]	Why does Quora tell me that my question needs improving and then link me to a question I didn't ask? Is this a known common bug or am I special?	n't [19]	0	No	
74	7969	Why invest money in Supertech Crown Tower project?		Why are we still spending and investing so much money in space exploration projects while we haven't gotten any profit from them?	n't [17]	0	No	
75	8665	What is the best evidence that proves beyond reasonable doubt that the Holocaust occurred?		What evidence proves beyond reasonable doubt that the holocaust never occurred?	never [9]	0	Yes	
76	7286	Are vintage KitchenAid Mixer attachments still being manufactured? If yes, where can they be found?		Are mainframe computers still built today? I'm not talking about supercomputers	not [9]	0	No	
77	13375	What hotel in Barabanki would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	unmarried [8] | without [11]	What hotel in Bhopal would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	unmarried [8] | without [11]	0	No	
78	32364	If you had a house elf like from Harry Potter, what would you name him/her and how would you treat him/her?		What would you do if your partner or lover doesn't like your profession and you love him/her a lot?	n't [10]	0	No	
79	14110	If we were not limited by money, what would be the most technologically advanced underwater habitat we could make using current technology?	not [3]	If we were not limited by money what would be the most technologically advanced spacecraft we could make using current technology?	not [3]	0	No	
80	471	Why does Viber say I was ""Last online yesterday"" when I don't go on Viber even though my phone has the app?	n't [17]	Does Viber go offline when you lock your phone or when you're disconnected from your Wi-Fi/mobile data?		0	No	
81	16127	I love a girl and proposed her, she replied she does not have the same feelings for me . Will her feelings ever change for me?	not [12]	Why do investment banks or accounting firms in India want to hire 3-4 year experience individual for entry level position ?		0	No	
82	29851	I am a 2015 B.Com hons graduate with a year gap in between.I'm preparing for CAT2016 .Will I be able to get in to top MBA schools?		I am doing a B.Com from Uttarakhand University (not hons). I wish to appear for the CAT in 2015. What should my preparation strategy be?	not [9]	0	No	
83	17872	What are the absolute basics of programming I need to master in order to become a great programmer?		With absolutely no basic tech background, can you become a reasonable programmer?	no [2]	0	No	
84	12660	Why it is not a crime to reuse medical device in India?	not [3]	Why is the awareness related to Cyber crimes are too low in India and why are the students are not given a oppurtunity to get to know to it even though they learn Network security?	not [19]	0	No	
85	25364	How safe is it to use non-HE detergent in a HE laundry washer?	non [6] | - [7]	Can I use regular detergent in the washer?		0	No	
86	18946	What happens if periods are 5 days late?		Can I be 14 days late on my period without being pregnant?	without [9]	0	No	
87	5286	What are the unsolved mysteries of environmental engineering?	unsolved [3]	Which problems are unsolved in mechanical engineering?	unsolved [3]	0	No	
88	25272	What is the procedure to get admission for MA psychology Counselling and clinical in TISS?		Would military pilots get punished for doing acrobatic moves unnecessarily?	unnecessarily [9]	0	No	
89	22112	Is there a word for some one who cares about both animals and humans?		I love and care about animals. I love non-veg food. Am I a hypocrite?	non [9]	0	No	
90	15993	Is it true that B positive blood people should not eat groundnuts?	not [9]	People always say it's useless to eat breakfast after 9 am. Is it true?	useless [5]	0	No	
91	10370	My computer will boot but won't load the homescreen. It only shows a black screen with only the mouse visible. What is the problem?	n't [6]	I installed Windows 7 and Ubuntu on my machine but the dual boot screen or the screen that shows the selected OS is not showing. By default Windows get loaded. How do I solve this problem?	not [23]	0	No	
92	32963	What is it like to be someone who has public (and archived) conversations all the time, but almost no private conversations?	no [21]	If I delete a private Facebook conversation will the other person be notified?		0	No	
93	35225	What would happen if Wikipedia displayed ads?		Why does Wikipedia ask for donations rather than having ads?	rather [6]	0	No	
94	36875	Does the Hermione Time Turner Necklace from Universal break easily?		Why is Hermione never attracted to Harry? Why fall in love with Ron instead of Harry?	never [3]	0	No	
95	33176	What is the VAT for unregistered business in India?	unregistered [5]	What is the process close a vat firm in India?		0	No	
96	27869	Could a pistol (revolver) have rifled barrel (barrel rifling)?		In an emergency battlefield setting, what's the appropriate way to transition from your rifle (e.g., in the event of a malfunction) to your pistol, assuming you don't have a rifle sling?	n't [33]	0	No	
97	14107	My boyfriend is very soft spoken.He can't hurt anybody.but sometimes I want him to react if someone says something to him .In our group of friends mostly he is targeted, but he doesn't react.He always says I don't care of what people say but I want him to be aggressive at times. how can I tell him?	n't [9] | n't [37] | n't [45]	My friends caught my crush always looking at me but he also has this girl best friend that he'd occasionally hug but says that he doesn't like her. He says he has someone he likes but he won't tell me. Do you think that there's a possibility for him to like me?	n't [27] | n't [41]	0	No	
98	28040	Vision (eyesight): What are some tricks to speed up the recovery from pupil dilation drops after an eye exam?		Can sunlight harm my retina, when my pupils have been dilated for an eye exam and i walked back home without sunglasses?	without [21]	0	No	
99	14137	Why isn't my question answered on Quora?	n't [2]	Why does no body answer my question in Quora?	no [2]	1	No	
100	35986	Why did German navel fleet did not tried to invade united states from east cost when their WW2 ally Japan is attacking pearl harbor?	not [6]	Did any Islamic state try to colonise America? If not, why?	not [10]	0	No	
101	14345	Which American Presidents have never released their birth certificate?	never [4]	What would happen if we never had a US president?	never [5]	0	No	
102	12580	Noam Chomsky: Why is there a rising tide of people becoming unsympathetic to broadly liberal, secular ideas around the world? I am not just talking about the west?	unsympathetic [12] | not [25]	Is this world becoming too liberal?		0	No	
103	16105	Forgot my Facebook password and email password. How can I log into Facebook?		I forgot my Facebook password. I dont wanna change it, how could I recover the current one?	nt [8]	1	-1	
104	14347	Information Security: How do I become a penetration tester with no relevant experience?	no [11]	What is the way to become a penetration tester?		1	No	
105	35717	What are some unexpected things first-time visitors to Togo notice?	unexpected [3]	What are some unexpected things first-time visitors to São Tomé and Príncipe notice?	unexpected [3]	0	No	
106	24524	Why we can't wake up in the morning?	n't [3]	How do I wake up suddenly in the morning?		0	No	
107	13325	Why do I have difficulty going from a kneeling to a standing position?		Winter Road Conditions: Why do some American cities always have difficulty clearing a little snow from the roads, while others have no difficulty clearing a lot?	no [23]	0	No	
108	35872	What would happen if, say, a contingent of Russian marines boarded a Nimitz class Carrier? What about if they captured it?		What would have happened if it were a Russian air-strike on the hospital in Afghanistan rather than American?	rather [17]	0	No	
109	8635	How can I unblock my Facebook account on Chrome?	unblock [3]	How can I unblock a Facebook account on Chrome?		1	No	
110	11792	How can I get over the fact that I'm unintelligent?	unintelligent [10]	Why am I unintelligent?	unintelligent [3]	0	No	
111	3690	Why do people stay in unhealthy or abusive relationships?	unhealthy [5]	Why do people stay in poisonous relationships?		1	No	
112	32496	Is it good to do MBA or PGDM after electrical & electronics engineering with experience?		Is it good to do MBA or PGDM after electrical & electronics engineering with no experience?	no [14]	0	Yes	
113	14039	Did the Nazis really play Yahtzee? If so, then why isn't it spelled Yazi?	n't [13]	I'm considering subscribing to a Magento cloud hosting. What can I expect from it? How safe is it?		0	No	
114	29014	How can I become a race car or F1 driver?		How do I become an F1 driver when you have limited resources and no racing history?	no [13]	1	No	
115	18984	What if your boss doesn't listen to your advice although you are right in predicting the outcome?	n't [5]	What would you do when your ex boss threatens you that he will contact your new employer if you did not went to him for the handing over?	not [20]	0	No	
116	488	What hotel in Khowai would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	unmarried [8] | without [11]	What hotel in Fatehgarh would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	unmarried [8] | without [11]	0	No	
117	36597	How much is unemployment in Texas?	unemployment [3]	How much unemployment is there in Texas?	unemployment [2]	1	No	
118	39260	The alleged father is not excluded as the biological father of the tested child. What does this result mean?	not [4]	Who is the biological father of Stephen Hawking's third child?		0	No	
119	33357	I bought Jio with blue packing using my Aadhaar card yesterday. Data started just after 5 minutes.But sim is not making or recieving calls.Wat to do?	not [22]	I use my Safeway card when shopping, but I don't seem to be able to log in to see what I bought on it.  Does Safeway offer this functionality?	n't [11]	0	No	
120	20490	I always promise myself I'll start eating healthy but I fail. What can I do about it?		Every night, I wonder why I don't do the things I promised myself to do. I really want to do it and work hard on it. No matter what, I always tend to fail. Are there any ways to fix that?	n't [8] | No [30]	0	No	
121	13052	What happens if an innocent man was sentenced for jail for 30 years then discovered he was innocent?		What's it like to be involved with putting someone in jail for life who is later proven to be innocent after unjustly serving years in prison?	unjustly [22]	0	No	
122	12956	What would decrease a material's thermal energy?		Why is Tyrion not able to complete his joke regarding the honeycomb and jackass in the show?	not [3] | able [4]	0	No	
123	11607	What can money buy?		What is something money can't buy?	n't [5]	1	-1	
124	37047	What would you do if some day you discover that you've lost everything in life and you practically dont have anything left to lose anymore?	nt [20]	What are the lost days of your life?		0	No	
125	3195	Is energy in vacuum real? How do we know that this energy that can be borrowed and returned immediately is real if virtual particles didn't exist then?	n't [26]	Do virtual particles in vacuum really exist?		1	-1	
126	32859	Why haven't computer manufacturers switched to USB Type-C?	n't [2]	Why is the adoption for USB type C connector very slow?		0	No	
127	25175	I have taken 3.54L education loan in 2011 for my degree. It's been 1 year after engg and I haven't secured any job. What to do?	n't [22]	Is it compulsory to choose one of graduation subject as optional in Uttar Pradesh assistant conservator of forest exam?		0	No	
128	16147	Can animals see ghosts or spirits?		Do animals see ghosts, spirits or other phenomena unseen by humans?	unseen [9]	1	No	
129	16905	If name and a/c no. on cheque don't match then is the cheque cleared?	n't [11]	Where is the cheque number in a cheque?		0	No	
130	27554	How can I travel without money to work voluntarily?	without [4]	How can I travel the world without having enough money?	without [6]	1	No	
131	29386	Why are there still families in Aleppo?		Will Hillary help people doing sex work not be caught in the trafficking efforts? Do you realise the hurt to marginalised people being done?	not [7]	0	No	
132	8941	Why when I urinate does my urine sometimes come out in two directions simultaneously?		How long can you live with no urine output?	no [6]	0	No	
133	993	Why are rechargeable AA batteries made to be 1.2V while alkalines are 1.5V?		Why can't I buy a 5v battery?	n't [2]	0	No	
134	36488	Who was philosophical guru of Shivaji Maharaj?		What are the unknown facts of shivaji maharaj?	unknown [3]	0	No	
135	31793	With a forgotten Gmail password, how do you find an old Gmail password when you don't remember the recovery information?	n't [17]	I can't remember my Gmail password or my recovery email. How can I recover my e-mail?	n't [2]	1	No	
136	3941	If you block someone on Instagram could they still see you in the followers list of an account that didn't block them and they already know?	n't [20]	Why is a user still on my followers list even after I've blocked them on Instagram?		0	No	
137	4819	What are the methods to avoid pregnancy?		How do I avoid unwanted pregnancy?	unwanted [4]	1	No	
138	24711	Why is there an asteroid belt?		What if the asteroid belt didn't exist?	n't [6]	0	No	
139	35358	How can people who voted for Obama say Trump is not qualified to be president?	not [10]	Why are people saying President Obama lacks leadership?		0	No	
140	6721	Why isn't Prince Philip the King of England when his wife is the Queen?	n't [2]	How did Queen Mary I of England die?		0	No	
141	33707	Is it a bad idea to switch careers if I am good at what I currently do?		Need help, I am aspiring for IAS 17. I teach students from 2-8 but due to this don't know what can be my routine for IAS, how and what to study?	n't [22]	0	No	
142	30232	What are some great flying machines?		How can I fly without any machine?	without [4]	0	No	
143	9155	What things do we need to improve in our philippine national police?		The mess in our university is not good, what should we (the members of hostels) do in order to improve?	not [6]	0	No	
144	4843	What are some mind-blowing Drivers accessories that exist that most people don't know about?	n't [14]	What are some mind-blowing Car tools that exist that most people don't know about?	n't [14]	1	No	
145	23862	Can you get teeth whitening even if you have a cavity?		Can you get pregnant if you have sex even if you have never gotten your period?	never [12]	0	No	
146	495	What are 10 things non-gamers always get wrong about gamers?	non [4]	What is it like to live with / get married to a non-gamer being a gamer (and vice-versa)?	non [12]	0	No	
147	3431	How can I manage between coaching and school due to which my concepts are poor .Are there any book for concepts.?		I am preparing for IIT-JEE and I haven't joined any coaching. I already have HCV. Which book is nice for theory to clear basic concepts?	n't [10]	0	No	
148	13797	Only led light is blinking but power bank is not charging?	not [9]	How much time does a 2600 mAh power bank take to charge itself?		0	No	
149	1606	Why USA is no longer a distinguished super power as it used to be some decades back?	no [3]	Kindly explain me the examination pattern at NIFT college for first year.Which all subjects come under jury for bftech department?		0	No	
150	32129	Natural suplements that can help in increasing height?		Hairfall for 6 months. Have tried anti dandruff therapies but no improvement. It hurts and itches at the scalp. What do I do?	no [11]	0	No	
151	37644	What are some not-so-boring baby shower games (both men and women attending)?	not [3]	What are some baby shower games that are actually fun?		1	Yes	
152	30878	What are the unbiased views of Pakistan citizens in the light of Uri attack?	unbiased [3]	What do Pakistani citizens think about Uri Attack?		1	Yes	
153	19826	What is it like having no friends?	no [5]	What is it like having no friends at all?	no [5]	0	No	
154	31578	Is the new 2000 Rupee note really implementing NGC (Nano GPS Chip)?		Is 2000 rupee note really not going to come with chip?	not [5]	1	No	
155	11874	I've been snowboarding for a few years now, and have good control of the board, but I can't seem to get over the fear of speed. Any advice as to how to get over it?	n't [21]	Why have rocker (reverse camber) snowboards become prevalent just in the last few years?		0	No	
156	13270	Why isn't Hillary Clinton in jail?	n't [2]	Why isn't Hillary Clinton in jail yet? Obviously, she is guilty of crimes, so why then isn't she in jail?	n't [2] | n't [21]	1	No	
157	34427	What are some unusual ways to flirt with a girl?	unusual [3]	What are the ways to flirt with a girl?		1	No	
158	36215	Are the jews the only villians pretending to be victims?		Metaphysics: Are we the environment pretending to not be the environment?	not [8]	0	No	
159	35654	Are Yamaha ATV's available in India. If not can they be expected in the near future?		Is it really that simple to make India cash less in the near future?	cash [8] | less [9]	0	No	
160	28520	What should I do if Instagram is asking me for a security code and they didn't send me any text messages?	n't [16]	How do I get Instagram to stop asking me for my security code.?		0	No	
161	29575	Are there any ways I can get a list of members of a Facebook Public Group, which I am not the admin of?	not [20]	Is there any way on WhatsApp by which I can add someone permanently in my group with me as group admin?		0	No	
162	23774	How do I view protected tweets without following the person on Twitter?	without [6]	Is there any way to view protected tweets?		0	-1	annotation error
163	17869	How should one respond when someone asks you ""How are you doing?"" at the start of the conversation?		How do you respond when someone asks about a scar you don't want to discuss?	n't [12]	0	No	
164	30482	Are there hedge funds in India?		Why aren't there hedge funds in India?	n't [2]	0	No	
165	19008	What is about you has stopped you succeeding in life?		What should you do if you never succeed in life?	never [6]	0	No	
166	9313	Why is a synchronous motor not self-starting?	not [5]	How is a synchronous motor started?		0	No	
167	37364	What are some reasons you should not vote for AAP?	not [6]	Will you vote for AAP? Why?		0	Yes	
168	22975	Should the Nepalese army throw away their guns and start running beauty parlors?		Is Nepal’s army powerless when compared to present world scenario?	powerless [4]	0	No	
169	13527	Why is Cl2Cs polar or non polar?	non [5]	Is borazole (Inorganic benzene) polar or non polar?	non [8]	0	No	
170	10772	How does Notifications work on Netflix?		Why are Spotify and Netflix not yet available in India?	not [5]	0	No	
171	31168	What should I do if my boyfriend would rather be on his phone than spend quality time with me?		What can I do my boyfriend flirts with other women on his phone and don't have time for me?	n't [15]	1	-1	annotation error
172	34778	What should I do to best utilize a shopify store I'm not using?	not [12]	What should I do to utilize a shopify store I'm not using?	not [11]	1	No	
173	34549	Have you ever experienced something you can't explain?	n't [7]	Have you ever experienced something paranormal and no one ever believed you?	no [7]	0	No	
174	39646	How easy is it for someone to learn Java programming with no prior knowledge of programming?	no [11]	Is Java easy to learn for a beginner?		1	No	
175	36688	How powerful is commenting on other account's Instagram pictures in gaining followers?		How can you look at someone's private Instagram account without following them?	without [10]	0	No	
176	30922	Why do I have to ""eject"" a USB hard drive on my new Mac, but never on Windows?	never [21]	Do today’s USB hard drives need to be unmounted/ejected before they are removed from the USB port?		0	No	
177	15852	I am in a bad engineering college and also can't drop out. What options do I have?	n't [10]	How can I start for a startup?		0	No	
178	28427	What is the most undeniable proof of alien existence?	undeniable [4]	Is there any proof or evidence of alien / extraterrestrial life existence?		1	No	
179	6274	My mom won't let me get a pixie cut. How do I convince her?	n't [3]	How do I convince my parent to let me get a pixie cut?		1	Yes	
180	15050	What is the shape of market demand curve? It is not linear.. Bt then also we call it a linear why?	not [11]	18 in a couple of months, I am soon eligible to get money from AdSense, but I made a account under a fake age, what should I do?		0	No	
181	31615	How does it feel to know that you have topped the IAS exam?		How do I keep myself motivated to crack the world's second most tough exam, the IAS, when others feel that I don't have that in me?	n't [25]	0	No	
182	34807	A is three times more efficient than B. If they complete a work in 30 days, then find the times required by each to complete the work individually?		Would it not be more fuel and time efficient for an air vehicle to rise vertically, and descend after 12 hrs (travelling only along longitudes if necessary), by which time the Earth would have completed half a rotation?	not [2]	0	No	
183	35770	Why didn't the dragons in ancient Westeros play much of a role, and what happened to them?	n't [2]	Why didn't the Dragons in ancient Westeros play a bigger role, and where did they all go?	n't [2]	1	No	
184	12557	Will Apple Music delete the songs I get during my free trial if I decide against buying the full version when the trial runs out?		Is the music being added to your iTunes library during the 3 month trial free? Will it be charged later? And if not will it still be in your library if you unsubscribe before trial ends?	not [24]	0	No	
185	1045	What is the best place to work for among the following Indian start-ups/companies and why?		I want to know which place is best for an Indian to work having degree but no experience?	no [16]	0	No	
186	12670	How do I get free or cheap Instagram followers fast without bots?	without [10]	How do I get free Instagram followers fast?		0	No	
187	29331	I cant download the stuff in my new phone Lenovo vibe k5 plus by Jio 4G.nd if its starts downloading the tye speed will be in bytes?	nt [2]	Is there a way of tracing where a photo (now a meme) was taken?		0	No	
188	18677	Is there a company (non-governmental) that provides accommodation to its junior or middle management employees in Mumbai?	non [5] | - [6]	Is it possible to find a company in the US that would be willing to provide a work visa for junior level employee?		0	No	
