index	dev_index	question	cues	choices	judgment	is_important	
38	NA	I couldn't find anybody who recalled the event, what were they adroit at doing?	n't [2]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['question authority', 'act fool', 'wash dishes', 'act innocent', 'forget']}	E	Yes	
39	NA	Batman bought beer.  There were no bottles available.  He had to settle for what?.	were [6]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['shelf', 'soccer game', 'keg', 'can', 'refrigerator']}	D	Yes	
40	NA	While John Candy and Dan Aykroyd didn't run into a gazelle, you'd have to go where to see one?	n't [7]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['eastern hemisphere', 'the city', 'open plain', 'television program', 'great outdoors']}	E	Yes	
41	NA	The teacher thought that a ferret can be very mischievous and probably wouldn't make a great pet for the entire what?	n't [13]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['bad mood', 'hutch', 'classroom', 'pair of trousers', 'year']}	C	No	
42	NA	John rode on the plain until it reached the ocean and couldn't go any farther. What might he have bee on?	n't [12]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['mountain', 'fancy', 'sandplain', 'cliff', 'gorge']}	D	Yes	
43	NA	Eating is part of living, but your body doesn't use it all and the next day you will be doing what?	n't [10]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['reduced', 'getting full', 'becoming full', 'chewing', 'defecating']}	E	No	
44	NA	The child pretended he was reading newspaper, he couldn't actually do it without what?	n't [10]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['patience', 'falling down', 'literacy', 'buying', 'knowing how to read']}	E	No	
45	NA	James loved to surf but he wasn't good at it. He would always do what?	n't [7]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['wipe out', 'enjoy yourself', 'start fighting', 'get wet', 'drown']}	A	Yes	
46	NA	Sam wasn't lying, but he left out important details. He was being what?	n't [2]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['dishonesty', 'deceitful', 'imagination', 'deceptive', 'poker face']}	B	No	
47	NA	The goal was to hit the target, but a projectile ball can't hit anything if it isn't in what?	n't [13] | n't [19]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['motion', 'ocean', 'flintlock', 'arcade', 'tennis court']}	A	No	
48	NA	His phone was dead and they couldn't find the expressway, he opened up the glove compartment and handed his passenger the what to navigate?	n't [7]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['eastern united states', 'michigan', 'map', 'choppers', 'american city']}	C	No	
49	NA	At the end of the day as he began to eat he paused and thanked her, it wasn't often she would what?	n't [19]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['cook dinner', 'did chores', 'make food', 'stretch out', 'get food']}	A	No	
50	NA	What happens when airplane engines cut off and are unable to be restarted in flight?	unable [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['stall', 'start melting', 'taxi', 'crash', 'speed up']}	D	Yes	
51	NA	The freeway had no traffic and few buildings, where is it?	no [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['california', 'countryside', 'big town', 'florida', 'america']}	B	Yes	
52	NA	What will happen to someone if his or her spirits cannot elevate?	not [11]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['sadden', 'demote', 'depress', 'drop', 'decrease']}	C	Yes	
53	NA	If you turn off the music in a room with no other noise that room would be what?	no [10]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['silent', 'opera', 'silence', 'television', 'elevator']}	A	Yes	
54	NA	The teacher doesn't tolerate noise during a test in their what?	n't [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['movie theatre', 'bowling alley', 'factory', 'store', 'classroom']}	E	No	
55	NA	If my husband never helps me doing housework, what might that lead to?	never [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['boredom', 'arguments', 'headache', 'exhaustion', 'park']}	B	Yes	
56	NA	What is unlikely to get bugs on its windshield due to bugs' inability to reach it when it is moving?	unlikely [2] | inability [13]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['airplane', 'scooter', 'motorboat', 'car', 'motor vehicle']}	A	No	wrong annotation?
57	NA	What do most companies not want to have relative to demand?	not [4]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['oversupply', 'plentitude', 'stockpile', 'superabundance', 'busy']}	A	Yes	
58	NA	George checked the rotor of the Apache, which wasn't powered by internal combustion, but by what?	n't [10]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['jet engine', 'helicopter', 'electric motor', 'rotator', 'electrical circuit']}	A	No	
59	NA	Where would you store a pillow case that is not in use?	not [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['kitchen cupboard', 'bedding store', 'england', 'drawer', 'bedroom']}	D	Yes	
60	NA	Jim decided to lose weight.  He thought that exercise is the best way to lose weight because you can't get rid of what?	ca [20]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['need for food', 'fitness', 'sweating', 'fastfood', 'thirst']}	A	Yes	
61	NA	Why would you not trust your friends after chatting with friends?	not [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['fever', 'smoke', 'laughing', 'coughing', 'lie']}	E	Yes	
62	NA	What has a shelf that does not allow you to see what is inside of it?	not [6]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['chest of drawers', 'stove', 'hold alcohol', 'bookcase', 'grocery store']}	A	Yes	
63	NA	When not in use where on your property would you store you bucket?	not [1]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['utility closet', 'outside', 'well', 'garden shed', 'garage']}	D	Yes	
64	NA	John didn't care about style.  He felt that form was less important than what?	n't [2]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['shapeless', 'quality', 'function', 'change shape', 'chaos']}	C	No	
65	NA	Why do people read non fiction?	non [4]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['having fun', "it's more relatable", 'learn new things', 'becoming absorbed', 'falling asleep']}	C	Yes	
66	NA	Where might the stapler be if I cannot find it?	not [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['office building', 'office supply store', 'desk drawer', 'with dwight', 'desktop']}	C	No	
67	NA	What might happen if someone is not losing weight?	not [6]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['loose skin', 'beauty', 'miss universe', 'death', 'healthier']}	D	Yes	
68	NA	If you aren't well rested and it's a rainy day what might you do?	n't [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['sleep', 'write', 'make bread', 'stay in bed', 'enjoy film']}	D	Yes	
69	NA	Where is likely to not just have a kosher restaurant?	not [4]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['jerusalem', 'jewish neighborhoods', 'dining in', 'new york city', 'dining']}	D	Yes	
70	NA	What will you do if you do not want to settle in one place?	not [7]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['walk', 'agitate', 'wander', 'remove', 'disturb']}	C	Yes	
71	NA	If i were to spit a lot without noticing i may have extra what?	without [7]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['phlegm', 'saliva nd mouth', 'disease', 'germs', 'spittle']}	B	No	
72	NA	He wasn't the hugging type, even when he meet friend he'd just do what?	n't [2]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['have sex', 'smile', 'hug each other', 'conversation', 'handshake']}	E	Yes	
73	NA	Killing people should not cause what emotion?	not [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['vengeance', 'going to prison', 'joy', 'afraid', 'terrible']}	C	Yes	
74	NA	If a person isn't able to pay their bills what must they do?	n't [4]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['know everything', 'acknowledgment', 'make more money', 'throw a party', 'spare time']}	C	No	
75	NA	James need to use a toilet but there were no public ones in sight.  Eventually he broke down and did something very expensive so that he could get a toilet.  Where might he have gone?	no [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['motel room', 'apartment', 'bathroom', 'games', 'house']}	A	No	
76	NA	If I was getting drunk, and people couldn't understand me, what might I be having?	n't [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['a seizure', 'slurred speech', 'death', 'forgetfulness', 'pass out']}	B	Yes	
77	NA	The child wasn't allowed in the kitchen but still wanted to help, what could it do to help in the dining room?	n't [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['set table', 'form opinions', 'make honey', 'become adult', 'gather flowers']}	A	No	
78	NA	Name a location where you would not want to find mice.	not [6]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['loft', 'attic', 'bell cat', 'countryside', 'laboratory']}	B	Yes	
79	NA	He was very outgoing, for him making friends was no personal what?	no [10]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['scary', 'having friends', 'good feeling', 'conflict', 'friendship']}	D	Yes	
80	NA	Where would you get a shower curtain if you do not have one?	not [10]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['department store', 'restaurant', 'hotel', 'dime store', 'bathtub']}	A	No	
81	NA	The kitten had nothing to dig it's claws into, so when it tried to stop it slid across what?	nothing [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['living room', 'floor', 'warm place', 'carpet', 'farmhouse']}	B	No	
82	NA	He was beginning to worry they wouldn't get on the ride before closing, they had been standing in queue for a long what?	n't [7]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['frustration', 'waiting', 'hair', 'time', 'patience']}	D	No	
83	NA	Animals who have hair and don't lay eggs are what?	n't [6]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['reproduce asexually', 'males', 'mammals', 'attack', 'ocean']}	C	Yes	
84	NA	If you have a home with a courtyard, what's one thing you probably don't have to care for any longer?	n't [16]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['lawn', 'kids', 'asshole', 'spain', 'office complex']}	A	No	
85	NA	Joe and Jill didn't want their children to be sedentary.  They might limit the time they children spend doing what?	n't [4]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['play sports', 'throw things', 'reading', 'watch tv', 'play with toys']}	D	Yes	
86	NA	Where would you have a stove if you don't live in a detached dwelling?	n't [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['tent', 'car', 'living room', "friend's house", 'apartment']}	E	Yes	
87	NA	Stark was just having fun, and he wasn't hurting anyone.  What might have he been doing?	n't [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['painting his nails', 'playing marbles', 'constructing', 'need for rest', 'wild ride']}	B	No	
88	NA	What could you get an unsmooth pit from?	unsmooth [5]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['backyard', 'rock', 'mine', 'cherry', 'peach']}	E	Yes	nice example
89	NA	There was no shade for Jenny.  She was forced to lie there exposed to what?	no [2]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['full sunlight', 'bright sunshine', 'sunny place', 'eat cake', 'direct sunlight']}	A	Yes	
90	NA	People do many things to alleviate boredom.  If you can't get out of the house you might decide to do what?	ca [11]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['play cards', 'skateboard', 'meet interesting people', 'listen to music', 'go to a concert']}	D	Yes	
91	NA	At a shop what can you buy to put your spare unused things?	unused [11]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['basement', 'cardboard box', 'ocean floor', 'high school', 'container']}	E	No	
92	NA	The fresh herbs, flowers, and vegetables will shrivel up if people don't do this?	n't [14]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['water plants', 'believe in god', 'drive to the nearest pool', 'speaking english', 'raise children']}	A	Yes	
93	NA	She wanted to get in shape, but she couldn't stay focused on the hour long what?	n't [10]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['sweating', 'excercise', 'work out', 'video', 'swim']}	C	No	
94	NA	Where would you get a toothpick if you do not have any?	not [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['box', 'grocery store', 'eyes', 'chewing', 'mouth']}	B	No	
95	NA	George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?	n't [2] | did [28]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['michigan', 'walk', 'stay still', 'stink', 'hands']}	B	Yes	
96	NA	This is an unavoidable physiological consequence of running.  What is it?	unavoidable [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['breathlessness', 'increased heart rate', 'falling down', 'muscle bulk', 'calluses']}	B	Yes	
97	NA	Where might an unused chess set be stored?	unused [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['toy store', 'michigan', 'living room', 'attic', 'cupboard']}	E	No	
98	NA	Zane doesn't like answering questions.  He's not good at it because he suffers from what?	n't [2] | 's [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['panic', 'discussion', 'attention', 'confusion', 'satisfaction']}	D	Yes	
99	NA	What are people likely to do when an unexpected decent outcome occurs?	unexpected [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['kill each other', 'thank god', 'experience pain', 'hatred', 'talk to each other']}	B	No	
100	NA	Joan was a baby, so there were many things she couldn't do, which caused problems for her parents.  Name one thing that makes raising a baby difficult.	n't [12]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['arrive early', 'learn to walk', 'boy or girl', 'bring joy', 'talk nonsense']}	E	No	
101	NA	The man in the white suit was very lazy.  He did nothing useful.  Meanwhile, the ban in the blue had put in effort and was very what?	did [12]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['restless', 'active', 'lazybutt', 'productive', 'hard work']}	D	No	
102	NA	James thought of criminal justice like a computer program.  It need to work right.   What ideas might James not like?	might [20]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['manual', 'process information', 'power down', 'control model', 'reason exists']}	D	Yes	
103	NA	John went to a party that lasted all night.  Because of this, he didn't have time for what?	did [16]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['meeting', 'blowing off steam', 'stay home', 'partying hard', 'studying']}	E	Yes	
104	NA	Where is a likely place to store unused soap?	unused [7]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['cabinet', 'supermarket', 'jail', 'butt', 'own home']}	A	Yes	
105	NA	The butt was bare, and Sam couldn't stop staring at it.  It was very what?	n't [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['full', 'ample', 'covered', 'bareword', 'ample']}	B	No	
106	NA	Brad tried to arise from bed but he could not.  Instead, he just continued to do what?	not [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['go down', 'fall down', 'lie down', 'lie to himself', 'sit down']}	C	No	
107	NA	Where can a human find clothes that aren't pants?	n't [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['pants shop', 'on planet earth', 'dress shop', 'school', 'train wreck']}	C	No	
108	NA	He kept plugging away in his cubicle, it seemed he was the only person not called into the what?	not [15]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['building', 'conference', 'assessment', 'demonstration', 'garage']}	B	No	
109	NA	What is a very unlikely side effect of becoming inebriated?	unlikely [4]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['fights', 'drunkenness', 'staggering', 'puke', 'paralysis']}	E	No	
110	NA	What can happen if you are buying products that someone else does not want you to buy?	not [12]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['joy', 'disagreements', 'agony', 'pleasure', 'owning']}	B	Yes	
111	NA	What is someone who isn't clever, bright, or competent called?	n't [5]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['clumsy', 'ineffectual', 'dull', 'clumsy', 'stupid']}	E	Yes	
112	NA	Who is not famous for a superhighway with no speed limit?	not [2] | no [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['europe', 'germany', 'industrialized country', 'city', 'america']}	E	Yes	
113	NA	The man tried to reply to the woman, but he had difficulty keeping track of conversations that he didn't do what to?	n't [20]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['initiate', 'ignore', 'question', 'answer', 'ask']}	A	Yes	
114	NA	Billy saw a dog running from him and did his best to get away from it.  The leaped up to where the dog couldn't reach and was stuck.  Where might he have been trapped?	could [25]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['kennel', 'table', 'porch', 'backyard', 'park']}	B	No	
115	NA	Where would you borrow furniture if you do not have any?	not [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['sewer', "neighbor's house", 'apartment', 'room', 'floor']}	B	No	
116	NA	Jodie felt a tightness in her chest. She was worried but didn't want to go to the hospital. Where might she go instead?	n't [13]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['istanbul', 'concert', 'bedroom', 'antique shop', 'human being']}	C	No	
117	NA	James was someone who was caught in his own delusions.  To him, the truth didn't do what what?	did [17]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['work to advantage', 'matter to', 'help', 'free mind', 'further knowledge']}	B	Yes	
118	NA	They were never going to be big actors, but they all had passion for the local what?	never [2]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['theater', 'opera', 'show', 'television', 'blockbuster feature']}	A	No	
119	NA	What will god never do according to religion?	never [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['anything', 'judge people', 'work miracles', 'judge men', 'everywhere']}	B	Yes	
120	NA	The child didn't know the problems his mother was going through, all he had was what for her?	n't [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['care', 'balloon', 'loved', 'become adult', 'learn']}	C	No	
121	NA	Sam couldn't get back to sleep because of a dream he had.  It was a what?	n't [2]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['awake', 'horror', 'dreamworker', 'reality', 'nightmare']}	E	Yes	
122	NA	What do people do when they don't understand something?	n't [7]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['ask questions', 'experience joy', 'believe in god', 'talk to each other', 'get sick']}	A	Yes	
123	NA	Boredom and hunger led to a wandering waste of time and a cart full of unhealthy snacks during her trip to where?	unhealthy [15]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['new moon', 'play cards', 'read book', 'see art', 'grocery shop']}	E	No	
124	NA	Where would using a boat not require navigation skills?	not [5]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['water', 'ocean', 'garage', 'harbor', 'river']}	E	Yes	
125	NA	I did not need a servant.  I was not a what?	not [2] | was [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['freedom', 'rich person', 'hired help', 'in charge', 'busy']}	B	No	
126	NA	Miss Grady took a stick from Bob because he was playing with it during class.  She wanted to make sure that he couldn't get to it so she put it where?	could [24]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['desk drawer', 'kitchen drawer', 'classroom', 'pocket', 'office']}	A	No	
127	NA	Where would you get jewelry if you do not have any?	not [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['vault', 'suitcase', "neighbour's house", 'department store', 'safe deposit box']}	D	No	
128	NA	John didn't mind getting in line.  It was what game after that he hated.  The time, the sore feet. He did not like doing what?	n't [2] | He [26]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['have to wait for', 'standing in line', 'eat cake', 'less confusion', 'being ordered']}	B	No	
129	NA	If someone mean wanted to insult somebody by calling them a fruit, where is probably not the smartest place to do it?	not [16]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['gay bar', 'market', 'grocery store', 'refrigerator', 'container']}	A	Yes	
130	NA	Sally was bored because she didn't like the junk that was on what?	n't [6]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['drawer', 'garage', 'caddy', 'bed', 'television']}	E	Yes	
131	NA	Paul wants carrots and doesn't need to drive anywhere. He gets them from where?	n't [5]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['refrigerator', 'store', "farmer's market", 'supermarket', 'dryer']}	A	Yes	nice example
