index	dev_index	text_a	cues	text_b	cues	judgment	is_important
16	715	Yes, your sentence will be clearer if you write the actual word instead of the slash.		Most style guides recommend against using the slash in phrases like “X and/or Y”, as well as  “this is hard/impossible to do”.	/ [25]	3.400000095	No
17	693	Good cheddar has little chunks of calcium lactate on/in it - could it be that?		I have two suspicions: One, you're undercooking your roux, the flour and butter mixture, and not fully incorporating the flour.	not [20]	0.6000000238	No
18	825	Given that the amount of shedding is normal, I don't think there's anything you can do to lessen it.	n't [11]	To reduce the amount of fur a cat malts over your furniture and clothes you could try a deshedder brush.		2	No
19	1288	Spanish jobless rate soars past 25 per cent		US jobless rate seen rising, offering Obama no relief	no [8]	1	No
20	627	Apart from admission (which normally should not be related to age), there is something that's related to your question.	not [7]	Age is not a PhD admission facor in the continental Europe, too.	not [2]	1	No
21	659	Yes, but it does not stay in the same constellation.	not [5]	Constellations are human constructs to make sense of the night sky.		1.399999976	No
22	1221	Colin Powell, the Secretary of State, said contacts with Iran would not stop.	not [13]	Secretary of State Colin Powell said yesterday that contacts with Iran would continue.		4.333000183	Yes
23	1052	I do not wish to be present during this witness," he told Stanislaus County Superior Court Judge Al Girolami.	not [3]	Yes, I do not wish to be present during this witness," Peterson, 31, calmly told the judge as he was returned to his cell.	not [5]	3.25	No
24	886	The president is not really all that important for German people.	not [3]	The function of the german president is almost just representative.		4	No
25	675	If non-human animals do have intelligence too, why is their intelligence not as advanced as humans?	non [1] | not [14]	Your own theory is bad because it seems to follow from a Lamarkian interpretation of evolutionary theory.		0.6000000238	No
26	625	You'll need to check the particular policies of each publisher to see what is allowed and what is not allowed.	not [19]	If you need to publish the book and you have found one publisher that allows it.		3	No
27	961	As per FIFA's "Equipment Regulations", Section 22, only the goalkeeper is permitted to wear a cap.		Although headgear is allowed to be worn, it is not advised for anyone other than the goalkeeper.	not [10]	2.400000095	No
28	565	A woman doesn't have her arms up because she's paralyzed from the neck down	n't [3]	A woman is sitting on the steps because she tripped and hurt her ankle.		0.8000000119	No
29	862	I can imagine a scenario where a single all powerful god create the universe that we know of.		It is the same idea as what Aristotle called the unmoved mover.	unmoved [10]	0.8000000119	No
30	1329	Gaza militants fire 40 rockets into Israel, 3 hurt: police		Gazans fire four rockets into Israel; no injuries	no [7]	2.75	No
31	1024	I know of no pressure," said Mr. Feith, the under secretary of defense for policy.	no [4]	I know of nobody who pressured anybody," Douglas Feith, undersecretary of defense for policy, said at a Pentagon briefing.	nobody [4]	3.799999952	No
32	993	You can write the book in any way you choose, as long as it works for you.		Sequence a only in writing (sometimes you have to go back and revise) option the not writer has is.	not [17]	1.200000048	No
33	1138	The router will be available in the first quarter of 2004 and will cost around $200, the company said.		Netgear prices the WGT634U Super Wireless Media Router, which will be available in the first quarter of 2004, at under $200.	Wireless [5]	3	No
34	908	Even though the question has been answered I would like to add my answer .		I don't know if I should say this, but if your job is making you anxious.	n't [2]	0	No
35	936	I don't think we have a solid theory of mammal speciation.	n't [2]	The short answer is that evolution couldn't create gills in humans.	n't [7]	0.8000000119	No
36	1013	Generally unwanted - and often pornographic or with fraudulent intent - spam is a nuisance and a distraction," Gates writes, warming us up for the punchline.	unwanted [2]	Generally unwanted—and often pornographic or with fraudulent intent —spam is a nuisance and a distraction," Gates writes.	unwanted [1]	4.199999809	No
37	1051	The WHO experts didn't say how many cases in Hebei were in rural areas.	n't [4]	Hebei has reported 191 cases and eight deaths, though the WHO experts did not say how many were in rural areas.	not [14]	3	No
38	1081	If that ain't a Democrat, I must be at the wrong meeting," he said.	n't [4]	And if that ain't a Democrat, then I must be in the wrong meeting," he said to thunderous applause from his supporters.	n't [4]	3.400000095	No
39	765	http://en.wikipedia.org/wiki/History_of_Delhi#Early_history shows that the city was called Delhi (or Dilli) at least since the 12/13th century.		I am not exactly sure but I remember the media (in India) addressing Delhi as "HASTHINA".	not [2]	1.200000048	No
40	953	Basically, the rule is that you must play the ball, and not the man, until someone catches the ball.	not [13]	It is fairly simple to understand, somewhat harder to referee.		1.200000048	No
41	647	Like Chris said above, stars rotate to conserve their angular momentum.		Stars are rotating, but that's not the cause for their stability.	not [7]	3.400000095	No
42	1413	Brooks pleads not guilty to hacking charges	not [2]	Dave Lee Travis pleads not guilty to all charges	not [4]	1.399999976	No
43	683	I've stored pancakes in the freezer for over two month and not had any freezer burn.	not [12]	Its going to depend on the type of packaging and also the freezer.		1.600000024	No
44	755	To no extent at all is the wars in the middle east caused by trade making the area heterogeneous.	no [1]	They had a treaty beginning in 1941, after a few skirmishes along the area in question.		0.6000000238	No
45	673	These are interesting studies, but the bottom line is: yes, environment affects cognitive abilities.		I'm not sure what you mean by cognitive capacity, but I absolutely believe that language shapes the way we think.	not [2]	1.600000024	No
46	719	Yes, you should stretch before running, but not the sit down and reach kind of stretching.	not [9]	Neuromuscular Activation and Dynamic Stretching Here is an excellent video on a dynamic stretching routine for running.		1.799999952	No
47	634	It is perfectly okay to ask for the figure knowing well that the other person may not give.	not [16]	You can always ask, then it is the choice of the author to accept or not.		3.599999905	No
48	933	Dick was an idea guy and a people guy, not a science guy.	not [10]	Most of Philip K Dick's works aren't hard Sci-Fi in the least.	n't [8]	1.399999976	No
49	725	I've noticed a remarkable difference when I run on the treadmill vs when I run on the road.		A treadmill won't prepare you for the impact of running for real.	n't [3]	3.200000048	No
50	888	The part of economics that is most like physics is called microeconomics.		Side note first: I don't think that physicists always agree on their theories and predictions.	n't [6]	0.6000000238	No
51	757	In Hinduism and Buddhism there is message of peace and an encouragement to not be materialistic.	not [13]	This relates to the "discovery" of Asian, and other non-European cultures by Americans.	non [12]	0	No
52	794	It would be unusual for a snake to attack a stationary person.	unusual [3]	I'm no herpetologist, but in my experience, snakes are in the "you don't bug me, I won't bug you" category.	no [2] | n't [17] | n't [23]	4.199999809	No
53	630	I don't think there are likely to be any standards that address this issue specifically.	n't [2]	You're going to find answers all over the map for this one (i.e., there probably aren't "standards").	n't [19]	2.400000095	No
54	855	If a statement is not provable an inconsistency or self-contradiction may or will develop that invalidates the system.	not [4]	Should arrival at this point be the focus for examination of any system?		0.6000000238	No
55	741	In the past it has grown almost like a weed in our pots on our deck here in North Texas.		Additional to the other answers, basil famously doesn't like to be damp overnight.	n't [9]	0.200000003	No
56	722	I recently stumbled on a great article that talks about protein consumption for the purposes of building muscle (recovery included).		Low reps with high weights don't add mass because the duration of the exercise is kept short.	n't [6]	1	No
57	767	The bulk of India then was not controlled by Porus, but by the Nanda dynasty, centered at Pataliputra.	not [6]	I believe Alexander lost heart after his horse, Bucephelus, died from a wound received in the battle against Porus.		0.6000000238	No
58	1070	Sirius carries National Public Radio, although it doesn't include popular shows such as "All Things Considered" and "Morning Edition.	n't [9]	Sirius recently began carrying National Public Radio, a deal pooh-poohed by XM because it doesn't include popular shows like All Things Considered and Morning Edition.	n't [18]	3.400000095	No
59	1041	He claims it may seem unrealistic only because little effort has been devoted to the concept.	unrealistic [5]	This proposal is modest compared with the space programme, and may seem unrealistic only because little effort has been devoted to it.	unrealistic [14]	3.5	No
60	643	Stars are rotating, but that's not the cause for their stability.	not [7]	Stars rotate due to the angular momentum of the gas they formed from.		3	No
61	859	The question of time is an incredibly difficult one, which has been treated of philosophers from Aristotle to Heidegger.		wikipedia, as much as it is a supposedly self correcting medium, is not necessarily a definitive account of anything.	not [14]	0	No
62	1074	The WHO says the latest case does not fit its profile of SARS and is not a public health concern.	not [7] | not [15]	The WHO has said the Singapore case did not fit its profile of SARS and was "not an international public health concern.	not [8] | not [17]	3.799999952	No
63	748	I bought a book, which talks about this, so here's an answer to my own question.		Well I wouldn't risk it, not in a cold compost system.	n't [3] | not [7]	0	No
64	814	I have never read anything that said teethers were bad--where did you read that?	never [2]	We used a clean cloth or baby sock wrapped around an ice cube with our kids and grandkids.		1.399999976	No
65	959	No, there is no specific criteria for giving the man of the match award.	No [0] | no [4]	As per the rules, MoM award is decide by the commentry pannel.		3	No
66	807	I know of no firm evidence indicating that baby talk is either helpful or detrimental in language development.	no [3]	Baby talk, when used correctly is beneficial to speech development.		2	No
67	803	I would recommend asking questions in a way that doesn't require a yes or no answer.	n't [10] | no [15]	Would you be concerned with the mind changing if he wasn't shouting and/or misbehaving?	n't [11]	0.400000006	No
68	697	I agree with others (and yourself) in that I have never heard this phrase in English.	never [12]	I have never heard or seen the phrase you mention.	never [2]	4	No
69	609	The man without a shirt is jumping.	without [2]	The man jumping is not wearing a shirt.	not [4]	4.599999905	No
70	896	Because there are more effective ways for Her Majesty to change or veto laws.		They do not veto laws because nobody will ever adopt a law which is contrary to the expressed queen's will.	not [2] | nobody [6]	2.799999952	No
71	1470	Pakistani Taliban chief Hakimullah Mehsud killed in drone strike		Pakistani Taliban 'elect new chief', vow 'unprecedented' revenge	unprecedented [10]	1.200000048	No
72	967	I'd suggest you find a bank in your local country, and consider opening a Euro denominated bank account with them.		I am not sure if you can open a bank account in France if you are not a resident.	not [2] | not [16]	1.600000024	No
73	905	A quick research (1, 2) showed me that the concentration of caffeine seems to peak about 30-60mins after ingestion.		The issue is that it never becomes useful in its true meaning.	never [5]	0	No
74	700	I see some references to status as uncountable as well, but that doesn't make much sense to me.	uncountable [7] | n't [14]	There are some cases "status" may be accounted of countable.		2.599999905	No
75	1476	Yemen: Fighting in north kills over 120		Janet Yellen: Five things you might not know	not [7]	0	No
76	852	I have no idea why it is voted up, but Rex Kerr's answer begs the question.	no [2]	It's a tautology, but the mapping between logic and the English-language description is wrong.		0	No
77	502	The sky has very little to no clouds.	no [6]	This Lady might be ready for Rock Climbing, or just watching the Clouds, above.		0.400000006	No
78	842	I don't have direct experience with bettas, but I've never heard that pairs will work long-term in any male/female combination.	n't [2] | never [12]	Bettas are highly territorial and no matter what sexes you keep together they will fight.	no [5]	2.599999905	Yes
79	942	Yes a team can use the same player for both bowling and batting in a super over.		There's no rule that decides which players can be picked for bowling/batting in the Super Over.	no [2]	4.199999809	No
80	662	It's pretty difficult to imagine a person with Social Anxiety Disorder being an extrovert.		On the surface, it does seem like social anxiety disorder and extroversion shouldn't both exist in the same person.	n't [14]	4.199999809	Yes
81	802	He is taking the diaper off because he is uncomfortable.	uncomfortable [9]	You can try putting the diaper on backwards which may only work for a little while.		1.799999952	No
82	974	I visited Peru in August, starting from Lima and touring for three weeks.		Cusco: High: 70F Low: 40F This is just before the rainy season (Dec-Mar) and crowds are general less.	less [24]	0.200000003	No
83	861	As I understand it, nothing that can be changed, or broken down into smaller parts is inherently real.	nothing [5]	Our interactions are merely depends on where we put our perception.		0.400000006	No
84	938	Sign language maybe, since there is no tone to convey meaning, emotion or intent.	no [7]	It is safe to say that body posture plays a big role in all languages.		2.200000048	No
85	686	I  believe one cannot taste the difference between minced(canned) and fresh garlic once it is cooked.	can [4]	In my experience, fresh garlic is great for when you want texture, or to slow down the flavour infusion.		1.799999952	Yes
86	665	There are individuals who possess extraordinary memory ability, sometimes called eidetic memory.		There are many arguments for why this is not the case.	not [8]	0	No
87	929	I started watching the Stargate series by watching Atlantis first!		Without delving into an in-depth analysis of Atlantis and Universe, I'll try and be as succinct as possible.	Without [0]	1.799999952	No
88	869	I have a few Nikon lenses, and a Sigma 10-20mm for super-wide shots.		If your interest is primarily the optics, you need to look at individual lenses, not brands as a whole.	not [16]	1.799999952	No
89	904	I think you need to apply a little statistical thinking to this.		One general key to not feeling dejected is to avoid comparing yourself to others.	not [4]	0	No
90	960	I can't think of the specifics, but I seem to remember this scenario from many years ago.	n't [2]	The Laws of Cricket say that you can declare any innings, no matter what the agreed length is.	no [12]	0	No
91	813	Both of our children slept in a portable pen for at least their first year, and there were no problems.	no [19]	Yours looks like the one we used for my kids (same brand and everything).		1.399999976	No
92	1274	Government promises action on Heathrow queues		Finance minister promises no new taxes	no [3]	0.400000006	No
93	925	I'd be more inclined to believe that it's some sort of ring world.		It is not hollow, it is round just as our world.	not [2]	1.799999952	No
94	989	No, you don't need to have taken classes or earned a degree in your area.	No [0] | n't [4]	I have done quite a bit of technical writing for healthcare information systems.		0	No
95	796	Once you open it up to toxins, the answer is clearly no, boiling is not enough.	no [12] | not [16]	Boiling eliminates only a certain class of contaminants that can make you ill.		3.200000048	Yes
96	1224	Former South African Archbishop Desmond Tutu said Sunday he did not see what "all the fuss" was over appointing a gay bishop, but urged homosexual clergy to remain celibate.	not [10]	South Africa's Nobel laureate Archbishop Desmond Tutu says he does not understand all the fuss about appointing a gay bishop, but he has urged homosexual clergy to remain celibate.	not [11]	4.5	No
97	998	In these days of googling, it's sloppy to not find the source of a quotation.	not [10]	I agree with Kate Sherwood, you should be able to attribute most quotes these days by simple fact checking.		3.200000048	No
98	860	Not all negative claims can be validly reformulated into positive claims.	Not [0]	I don't think the burden of proof is on positive or negative versions.	n't [2]	1	No
99	887	In a "first-past-the-post" system, it is difficult to sustain more than two parties.		While the 'first-past-the-post system favours two parties, it certainly doesn't guarantee the marginalization of third parties.	n't [18]	3	No
100	848	I don't think that positivism is a position of mostly leftist philosophers.	n't [2]	I am not convinced that positivism is routinely asociated to a leftist ideology.	not [2]	3.799999952	No
101	816	My son didn't become potty trained until about his 4th birthday.	n't [3]	Here are some things that worked with my son who started toilet training around 2.5 years.		1.600000024	No
102	992	The villains I absolutely hate are selfish and self-serving, but they are also cowards.		A villain you want to take down is, at his/her core, someone who does not care about the suffering of others.	not [18]	3	No
103	906	Here's a technique  I've developed without being aware of it: Multiple Browsers.	developed [7]	I agree with others that tracking your time is fundamental to the solution.		0	No
104	696	In some cases the implication could even be that Tom does not love her.	not [11]	There is no implication about Tom whatsoever in such a sentence.	no [2]	1.799999952	No
105	1056	Under the U.S. Constitution, the other chamber of Congress, the House of Representatives, does not vote on foreign alliances.	not [17]	The U.S. House of Representatives, the other chamber of Congress, does not vote on treaties.	not [13]	3.200000048	No
106	1349	Calif man pleads not guilty in girl kidnap case	not [3]	Calif. man pleads not guilty in terrorism case	not [3]	2.200000048	No
107	850	People who are good at the philosophy of mathematics are mathematicians and not philosophers.	not [12]	My motivation is that I like to look at things from their roots and go up.		0	No
108	885	Leaving aside heath care angle, you are working from a flawed premise that waging war doesn't save lives.	n't [17]	Healthcare They would probably reject your implied claim that Obama's healthcare law will save lives.		1.600000024	No
109	672	Some ancient historical precedent exists for preferring $10$, but also for $6$, so that's mixed support from Wikipedia on perfect numbers.		This is indeed possible, but I haven't seen it done experimentally for reasons other than feasibility.	n't [8]	0	No
110	709	As others have said, "ten of six", though not used in many English speaking areas, would be understood as 5:50.	not [12]	Ten of six" probably means 5:50 but I have not heard it before.	not [11]	3.799999952	No
111	982	There is nothing wrong with the phrase "simple sample service".	nothing [2]	The minimal change needed to avoid disconcerting alliteration is to just call it a "simple example service".		3.400000095	No
112	636	I will advise exactly the contrary of what bravo just said in another answer : go for A !		You could defer admission, but it's a little unusual to defer for a year.	unusual [10]	0.200000003	No
113	771	The difficulty arises not from the various linguistic properties of the language pair as many here suggest.	not [3]	It depends on generally syntactic structure of two languages and -yes- some pragmatic issues.		1.799999952	No
114	957	Actually, it's much more easier to count the one NOT on the same continent.	NOT [11]	That is also the recommended strategy for marathons, if you are going for time.		0	No
115	1375	Iran says it captures drone; U.S. denies losing one		Iran says it has seized U.S. drone; U.S. says it's not true	not [12]	4.800000191	Yes
116	184	A tiger is walking around his cage.		A tiger walks around aimlessly.	aimlessly [4]	3	No
117	980	English works everywhere with people buying and selling things and in the hospitality and tourism busniness.		I traveled around Maharashtra (including Mumbai) and Andhra Pradesh and I had no problem getting by with just English.	no [14]	2.799999952	No
118	1037	Calvin Hollins Jr.'s attorney, Thomas Royce, has repeatedly said his client had no link with the company that owned and operated E2.	no [15]	The lawyer for Hollins Jr., Thomas Royce, has said his client had no link to the company that owned and operated E2.	no [14]	4.5	No
119	978	There are trains via Knin, which means a large detour inland (there just isn't a coastal line).	n't [16]	As others have said if you want to get to Split the best public transport offering is by bus.		0.6000000238	No
120	769	Preserving grammaticality and preserving meaning of the sentence are two different things.		In fact, you can remove pretty much and preserve grammaticality if you don't care about preserving meaning.	n't [14]	3	No
121	733	There are no post-emergents that specifically kill crabgrass without killing lawn grass.	no [2] | without [10]	I brought an Ace product that kla crab grass and you can use it below 90 degrees.		1.799999952	No
122	1066	Appellate courts across the country have issued differing rulings on the issue, allowing public displays of the Ten Commandments in some cases and banning them in others.		Lower courts have splintered on the issue, allowing depictions of the Ten Commandments in some instances and not in others.	not [18]	4.25	No
123	1278	Suspicious object found in Tel Aviv not explosive device	not [6]	Police treat suspicious object at Tel Aviv bus station		3.400000095	No
124	818	Our daughter has always loved her bath, but coming out... not so much.	not [12]	My wife and I originally had the same problem with our newborn twins fussing when bath time was over.		2.799999952	No
125	1049	Earlier Thursday, PeopleSoft formally rejected the unsolicited bid from Oracle.	unsolicited [7]	Thursday morning, PeopleSoft's board rejected the Oracle takeover offer.		4.400000095	No
126	596	A girl in water without goggles or a swimming cap.	without [4]	A girl in water, with goggles and swimming cap.		3	Yes
127	1114	Teams of inspectors walked into a restricted area at one park without being stopped; others took pictures of sensitive areas without being challenged.	without [11] | without [21]	Teams of inspectors walked into a restricted area at one park without being stopped by employees; others took pictures of security-sensitive areas without anyone challenging them.	without [11] | without [25]	4.75	No
128	704	In standard English, I think "don't got" has the same register as "ain't".	n't [8] | n't [18]	I'd say the expression I don't got... is generally rare in spoken AmE.	n't [7]	2.200000048	-1
129	782	If you arecomming from the non-linguistics environment, the best book is to start with Is Fromkin, Introduction to language.	non [5] | - [6]	This is what they recommend at Oxford as introductory textbooks to students starting a Masters' in Linguistics.		1.399999976	No
130	781	A part of the question thusfar unattended is whether the concept of phoneme has always been contentious.		Phoneme" is a theoretical construct which probably can't go away.	n't [10]	1.600000024	No
131	832	First, double-check the dog's body language to make sure that it is truly aggressive.		First, you should realize that this is not you or your dog's problem.	not [8]	1.600000024	No
132	1100	Now, the other guy, he's ashamed of his party," Street said to crowd laughter.		The other guy, he's ashamed of his party, and I don't blame him.	n't [15]	3.5	No
133	1315	Romney leads rivals, not Obama, in fundraising	not [4]	Romney: I left all management of Bain in 1999		0.8000000119	No
134	875	I use Elinchrom Skyports, but if money is not an issue then go for PocketWizards.	not [9]	Or just go with the ultra-cheap YongNuo RF-602, which give you a lot of bang for the buck.		1.200000048	No
135	829	It does sound like your cat is upset about something, and trying to communicate it to you.		Something is bothering your cat and he does not like it.	not [8]	3.799999952	No
136	907	I have a standing/sitting desk at work and really like it.		As mentioned by other responders, it turns out that using a standing desk isn't necessarily a perfect solution.	n't [15]	2.200000048	No
137	820	Most doctors do recommend rice cereal as the first food, as there is almost no worry of allergic reaction.	no [15]	Eating off a spoon has to be an unusual experience for them.	unusual [8]	0.6700000167	No
138	964	It was random that she faced Li Na in the first round - not because she's seeded/ranked #127.	not [13]	This was too long for a comment, so I am posting it as a CW-answer.		0	No
139	629	If you don't want to pay for Adobe Acrobat Pro, as @schultem mentions, LaTeX can do this with embedded hyperlinks.	n't [3]	If you don't mind hosting your files online, SlideShare is a good solution.	n't [3]	0.8000000119	No
140	582	The fruits should be eaten with lemon juice in order to prevent oxidation in your stomach.	prevent [11]	three dogs growling On one another		0	No
141	640	This does not fully answer your question, but it is certainly one consideration.	not [2]	I am a PhD student in Computational Science, which is an interdisciplinary major spanning mathematics, computer science, and engineerning.		0	No
142	927	I was invited in to pitch story ideas to Ron Moore at ST:TNG.		It's obviously possible for it to leave the field without harm - it occurred.	without [10]	0	No
143	653	Why is the speed of light 299,792,458 m/s, and not (for instance) 3,1 or 4,3 x 10^44 m/s?	not [12]	Speed of light being finite is one of the fundamentals of our Universe.		1	No
144	1163	At 12 months there was still a difference in function, although it was not a significant one.	not [14]	At 12 months, there was still a difference between the groups, but it was not considered significant.	not [16]	4.400000095	No
145	879	Large-format cameras are very much worth buying used; they're often extremely well-cared-for, if not coddled.	not [22]	If I had to pick, Linhof would be my choice.		0.6000000238	No
146	830	I have noticed most cats don't lick people a great deal.	n't [6]	Cats may or may not lick a person based on all kinds of things.	not [4]	3	No
147	785	A few points to add here: Coyotes are not know to be aggressive towards humans.	not [9]	In general they are not considered dangerous because they rarely attack humans.	not [4]	3.200000048	No
148	895	According to Shia Muslims specially Iran state and Hezbollah a country called Israel does not exist.	not [14]	As with the definition of Palestine, the definition of Israel varies depending on whom you ask.		3.200000048	No
149	711	This may be overly obvious, but in American English, saying "you're welcome" is certainly polite and standard.		I'm not sure how "Not at all" sounds in response to "thank you".	not [2] | Not [6]	1.399999976	No
150	1088	Neither Iowa State athletic director Bruce Van De Velde nor Morgan could be reached for comment.	Neither nor [0, 9]	Iowa State athletic director Bruce Van de Velde would not confirm an offer was made to Lebo.	not [9]	2.799999952	No
151	890	Most people want not only to be WELL off, but to become BETTER off as time goes by.	not [3]	To start, the main drivers of economic growth are resources, technology, and institutions.		0.400000006	No
152	1022	North American markets finished mixed in directionless trading Monday as earnings season begins to slow and economic indicators move into the spotlight.	directionless [6]	North American markets grabbed early gains Monday morning, as earnings season begins to slow and economic indicators take the spotlight.		3.799999952	No
153	663	It is hard to delineate emotion completely from thoughts or sensations, because emotion can contain both.		Technically speaking, an emotion is not different from thought the way it is processed in brain, both involve neurotransmitters.	not [6]	2.799999952	No
154	838	The main cause of the allergies is proteins in the saliva.		Allergies to animals, particularly furry ones, can be across the board rather than species specific.	rather [13]	2.200000048	No
155	753	Nearly all countries grew quickly in the 1950s and 1960s for pretty much the same reasons.		The USSR growth rate during the 50's was not exceptionally high.	not [9]	1	No
156	1300	Gaza rockets lands in Ashkelon Coast area; none hurt	none [8]	Rocket fired from Gaza damages home in Sderot; none hurt	none [9]	3	No
157	1116	Representatives for Puretunes could not immediately be reached for comment Wednesday.	not [4]	Puretunes representatives could not be located Thursday to comment on the suit.	not [3]	3.25	No
158	706	I'm American, and I've never heard the bathroom referred to as St. John's.	never [7]	In situations like these, I tend to lengthen out the phrase.		0	No
159	847	Aristotle didn't put the world at the center of the universe per se.	n't [2]	Why did Aristotle place the earth at the centre of an infinite universe?		2.799999952	No
160	931	It was before the season began because Amy saw the woman before the Silence took her.		The exact timeline hasn't been listed yet, but there are a few assumptions we can make.	n't [4]	0.200000003	No
161	997	Keep in mind that you can easily swear without swearing.	without [8]	I think Stephen King's comments are helpful in this regard.		0	No
162	874	Same here, I've the 50mm f/1.4, and as my fastest lens I couldn't live without it for concerts and low-light photography.	n't [17]	I have the 18-55, 50/1.8 and 50/1.4 as well as the 20D - superseded by a 50D.		2.599999905	No
163	1446	Obama signs law aimed at barring Iran UN envoy		Obama urges no new sanctions on Iran	no [2]	1	No
164	1077	A former candidate for governor of New York, he styled himself an advocate of better corporate governance.		Mr. McCall, who ran unsuccessfully for governor of New York in 2002, styled himself an advocate of better corporate governance.	unsuccessfully [5]	3.25	No
165	651	Yes, it's true that the apparent size of the Moon is 30 arcmin.		When you gaze at the moon "live", you are not seeing a still image.	not [12]	1	No
166	736	Support is good for eggplants as the fruit may become heavy and can even break the branches.		Some support won't hurt, especially if it is a large fruited variety.	n't [3]	2.400000095	No
167	877	The terminology is usually called "Destructive vs Non Destructive" editing.	Non [8]	Lossless / nondestructive edits are reversible and would entail transforming and/or appending the data in a way that could be reversed.	nondestructive [2]	2.400000095	No
168	1093	Just five months ago, Dean committed to accepting taxpayer money and vowed to attack any Democrat who didnt.	nt [19]	Just five months ago, Dean committed to accepting taxpayer money and the spending limits that come with it and vowed to attack any Democrat who didnt.	nt [27]	3.599999905	No
169	884	The U.S. appears to have a smaller shadow economy for a few reasons in no particular order.	no [14]	There are three main factors that drive the low shadow economy in the US.		2.599999905	No
170	628	This post refers to research in the STEM fields, and may not be applicable to other research topics.	not [12]	This is about my experience in computer engineering I found that reading for breadth was the more important approach.		0.6000000238	No
171	689	They don't taste identical at all, and even more important, they don't smell the same.	n't [2] | n't [15]	Black pepper and white pepper are differing preparations of the fruit of the Piper nigrum plant.		2.599999905	No
172	1164	It just seems like all the issues that we support, he doesn't," said Gabriela Lemus of LULAC.	n't [14]	It just seems like all the issues that we support he doesn't," said Gabriela Lemus, the league's director of policy and legislation.	n't [13]	4.199999809	No
173	626	I am not aware of any university run participant pools.	not [2]	At the universities I've worked in North America, human-subject studies (esp.		0.6000000238	No
174	729	Properly executed weight training will increase, not decrease, your flexibility and mobility.	not [7]	I've seen guys that are still very flexable while lifting weights.		2.200000048	No
175	739	Chances are picking the seeds once it's gone to seed isn't going to actually encourage new growth.	n't [12]	The longer you can leave the seed-heads on the plant the better (IMHO).		1.600000024	No
176	760	Looks like you've rediscovered Jaspers's concept of the Axial Age.		There was no influence from China to the culture of Greece.	no [2]	0.400000006	No
177	1451	Blast on Indian train kills one		State: No funds for yeshiva that incites violence	No [2]	0	No
178	892	No, nothing in the Patient Protection and Affordable Care Act grants the President transitional authority.	No [0] | nothing [2]	There is always "transitional authority" by virtue of the writing of regulations.		2	No
179	926	On the one hand, there’s nothing in canon to suggest that the Time Turners could go forwards in time.	nothing [7]	Time Turners were explicitly mentioned for use in going back in time.		2.799999952	No
180	754	While Queen may refer to both Queen regent (sovereign) or Queen consort, the King has always been the sovereign.		There is a very good reason not to refer to the Queen's spouse as "King" - because they aren't the King.	not [6] | n't [22]	2	No
181	1233	Kaichen appeared Wednesday in federal court on two bank robbery charges.		She appeared in federal court Wednesday, but did not enter a plea.	not [9]	3	No
