index	dev_index	premise	cues	hypothesis	cues	judgment	is_important
58	4267	A strike by what entity resulted in a halt to production for network programs in the 2007-2008 season?		The Writers Guild of America strike that halted production of network programs for much of the 2007–08 season affected the network in 2007–08 and 2008–09, as various ABC shows that premiered in 2007, such as Dirty Sexy Money, Pushing Daisies, Eli Stone and Samantha Who?, did not live to see a third season; other series such as Boston Legal and the U.S. version of Life on Mars suffered from low viewership, despite the former, a spin off of The Practice, being a once-highlighted breakout series when it debuted in 2005.	not [52]	entailment	No
59	3752	How many miners died in the typhoid outbreak of 1854?		Although there was some racism directed at them, there was not the level of anti-Chinese violence that was seen at the Lambing Flat riots in New South Wales.	not [11]	not_entailment	No
60	1276	What did Luther deny the rebels?		Without Luther's backing for the uprising, many rebels laid down their weapons; others felt betrayed.	Without [0]	entailment	No
61	140	Since NASA didn't know how many attempts each test would end up requiring, what did they use instead of numbers for the trials?	n't [3]	In September 1967, Mueller approved a sequence of mission types which had to be successfully accomplished in order to achieve the manned lunar landing.		not_entailment	No
62	1797	the Great Internet Mersenne Prime Search, what was the prize for finding a prime with at least 10 million digits?		Some of the largest primes not known to have any particular form (that is, no simple formula such as that of Mersenne primes) have been found by taking a piece of semi-random binary data, converting it to a number n, multiplying it by 256k for some positive integer k, and searching for possible primes within the interval [256kn + 1, 256k(n + 1)	not [5] | no [16]	not_entailment	No
63	4983	What was the name given to the regions in which the pro - slavery southerners lived?		Subsequently, Californios (dissatisfied with inequitable taxes and land laws) and pro-slavery southerners in the lightly populated "Cow Counties" of southern California attempted three times in the 1850s to achieve a separate statehood or territorial status separate from Northern California.	inequitable [6]	entailment	No
64	4872	What will have a direct impact of inequality in a system that uses a progressive tax?		In a progressive tax system, the level of the top tax rate will often have a direct impact on the level of inequality within a society, either increasing it or decreasing it, provided that income does not change as a result of the change in tax regime.	not [39]	entailment	No
65	2873	Tumors that are able to evade the body's immune response can become what?		In addition, immunological tolerance may develop against tumor antigens, so the immune system no longer attacks the tumor cells.	no [15]	not_entailment	No
66	1889	In the effort of maintaining a level of abstraction, what choice is typically left independent?		Even though some proofs of complexity-theoretic theorems regularly assume some concrete choice of input encoding, one tries to keep the discussion abstract enough to be independent of the choice of encoding.	independent [28]	entailment	No
67	4344	What was Martin Parry's role in the IPCC?		Martin Parry, a climate expert who had been co-chair of the IPCC working group II, said that "What began with a single unfortunate error over Himalayan glaciers has become a clamour without substance" and the IPCC had investigated the other alleged mistakes, which were "generally unfounded and also marginal to the assessment".	unfortunate [27] | without [36] | unfounded [53]	entailment	No
68	4131	What might starch grains be a side effect of?		While linked to low photosynthesis rates, the starch grains themselves may not necessarily interfere significantly with the efficiency of photosynthesis, and might simply be a side effect of another photosynthesis-depressing factor.	not [12]	entailment	No
69	1503	What is negatively correlated to the duration of economic growth?		According to International Monetary Fund economists, inequality in wealth and income is negatively correlated with the duration of economic growth spells (not the rate of growth).	negatively [13] | not [23]	entailment	No
70	1177	Why is Priestley usually given credit for being first to discover oxygen?		After breathing the gas himself, he wrote: "The feeling of it to my lungs was not sensibly different from that of common air, but I fancied that my breast felt peculiarly light and easy for some time afterwards.	not [18]	not_entailment	No
71	1883	What was Tampa's primary ABC affiliate prior to 1994?		The network has the unusual distinction of having separately owned and operated affiliates which serve the same market in Tampa, Florida (WFTS-TV and WWSB) and Grand Rapids, Michigan (WZZM and WOTV), with an analogous situation arising in Kansas City, Missouri (KMBC-TV and KQTV).	unusual [4]	not_entailment	No
72	4972	How many times was Cam Newton sacked in Super Bowl 50?		The Broncos took an early lead in Super Bowl 50 and never trailed.	never [11]	not_entailment	No
73	3980	What is the search feature on the V&A website called?		There is a feature on the Victoria and Albert Museum web-site called "Search the Collections," but not everything is listed there.	not [21]	entailment	No
74	5342	When was Japan accepted as an Arab-friendly state?		On November 7, 1973, the Saudi and Kuwaiti governments declared Japan a "nonfriendly" country to encourage it to change its noninvolvement policy.	nonfriendly [15]	not_entailment	No
75	1129	What year did Tesla enroll at an engineering school?		He never graduated from the university and did not receive grades for the last semester.	never [1] | not [8]	not_entailment	No
76	929	A function problem is an example of what?		A function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it isn't just yes or no.	n't [41] | no [45]	entailment	No
77	3507	ABC aired symphony performances by what conductor?		With the help of the Magnetophon, ABC was able to provide its stars with greater freedom in terms of time, and also attract several big names, such as Bing Crosby at a time when NBC and CBS did not allow pre-taped shows.	not [41]	not_entailment	No
78	4117	What does a writer for the International Crisis Group think the concept of political Islam is a creation of?		Similarly, a writer for the International Crisis Group maintains that "the conception of 'political Islam'" is a creation of Americans to explain the Iranian Islamic Revolution and apolitical Islam was a historical fluke of the "short-lived era of the heyday of secular Arab nationalism between 1945 and 1970", and it is quietist/non-political Islam, not Islamism, that requires explanation.	non [63] | - [64] | not [68]	entailment	No
79	3323	How many major chloroplast replication models have been suggested?		The mechanism for chloroplast DNA (cpDNA) replication has not been conclusively determined, but two main models have been proposed.	not [10]	entailment	No
80	1472	What reason is given that you should also protest public companies?		Brownlee argues that disobedience in opposition to the decisions of non-governmental agencies such as trade unions, banks, and private universities can be justified if it reflects "a larger challenge to the legal system that permits those decisions to be taken".	non [10]	entailment	No
81	507	Granting what status would allow private non-religious schools in the US to receive public funds?	non [6]	Funding for private schools is generally provided through student tuition, endowments, scholarship/voucher funds, and donations and grants from religious organizations or private individuals.		not_entailment	No
82	5433	Persistent unemployment has what effect on long-term economic growth?	unemployment [1]	Policies aiming at controlling unemployment and in particular at reducing its inequality-associated effects support economic growth.		not_entailment	No
83	935	What will maidens be able to predict by floating their wreaths down the Vistula?	able [4]	The festival traces its roots to a peaceful pagan ritual where maidens would float their wreaths of herbs on the water to predict when they would be married, and to whom.		entailment	No
84	4692	Who did Luther banish?		After banishing the Zwickau prophets, he now faced a battle against not only the established Church but also the radical reformers who threatened the new order by fomenting social unrest and violence.	unrest [30]	entailment	No
85	343	How many affiliates carry the ABC network feed in 480i standard definition?		However, most of Hearst Television's 16 ABC-affiliated stations transmit the network's programming in 1080i HD, while 11 other affiliates owned by various companies carry the network feed in 480i standard definition either due to technical considerations for affiliates of other major networks that carry ABC programming on a digital subchannel or because a primary feed ABC affiliate has not yet upgraded their transmission equipment to allow content to be presented in HD.	not [64]	entailment	No
86	4039	How many prime numbers exist?		There is no known simple formula that separates prime numbers from composite numbers.	no [2]	not_entailment	No
87	1800	How many Kenyans are non-religious?	non [4] | - [5]	Sizeable minorities of other faiths do exist (Muslim 11.2%, indigenous beliefs 1.7%), and nonreligious 2.4%.	nonreligious [19]	entailment	No
88	777	What present-day company did BankAmericard turn into?		After a troubled gestation during which its creator resigned, BankAmericard went on to become the first successful credit card; that is, a financial instrument that was usable across a large number of merchants and also allowed cardholders to revolve a balance (earlier financial products could do one or the other but not both).	not [55]	not_entailment	No
89	4009	Antigone was a play made by whom?		She is not at all afraid of the death he threatens her with (and eventually carries out), but she is afraid of how her conscience will smite her if she does not do this.	not [2] | not [34]	not_entailment	No
90	2907	How many people did Hamas kill between 2000 to 2007?		Hamas has been praised by Muslims for driving Israel out of the Gaza Strip, but criticized for failure to achieve its demands in the 2008-9 and 2014 Gaza Wars despite heavy destruction and significant loss of life.	failure [18]	not_entailment	No
91	1202	What do extremely unequal societies tend to be?	unequal [3]	Perotti concluded that, "more equal societies have lower fertility rates and higher rates of investment in education.		not_entailment	No
92	2545	What special was created for the show's 30th anniversary?		The special was one of several special 3D programmes the BBC produced at the time, using a 3D system that made use of the Pulfrich effect requiring glasses with one darkened lens; the picture would look normal to those viewers who watched without the glasses.	without [44]	not_entailment	No
93	2199	Who said the homeless in the area would have to leave?	homeless [3]	San Francisco mayor Ed Lee said of the highly visible homeless presence in this area "they are going to have to leave".	homeless [10]	entailment	No
94	2036	Who challenges the notion of the Kuznets curve hypothesis?		Moreover, Piketty argues that the "magical" Kuznets curve hypothesis, with its emphasis on the balancing of economic growth in the long run, cannot account for the significant increase in economic inequality throughout the developed world since the 1970s.	not [28]	not_entailment	No
95	3329	What magnetic character do triplet O2 have?		That is, they impart magnetic character to oxygen when it is in the presence of a magnetic field, because of the spin magnetic moments of the unpaired electrons in the molecule, and the negative exchange energy between neighboring O_2 molecules.	unpaired [28]	not_entailment	No
96	4436	What rate of unionization do Scandinavian nations have?		Sociologist Jake Rosenfield of the University of Washington asserts that the decline of organized labor in the United States has played a more significant role in expanding the income gap than technological changes and globalization, which were also experienced by other industrialized nations that didn't experience steep surges in inequality.	n't [46]	not_entailment	No
97	272	What do astronaughts experience while in free-fall?		This is why, for example, astronauts experience weightlessness when in free-fall orbit around the Earth, and why Newton's Laws of Motion are more easily discernible in such environments.	weightlessness [9] | discernible [30]	entailment	No
98	4914	Who along with Russia supported post WW-II communist movements?		The Soviet Union and the People’s Republic of China supported post–World War II communist movements in foreign nations and colonies to advance their own interests, but were not always successful.	not [31]	entailment	No
99	1292	Who did Britain exploit in India?		Although a substantial number of colonies had been designed to provide economic profit and to ship resources to home ports in the seventeenth and eighteenth centuries, Fieldhouse suggests that in the nineteenth and twentieth centuries in places such as Africa and Asia, this idea is not necessarily valid:	not [47]	not_entailment	No
100	2699	How many times was Cam Newton sacked?		The Broncos took an early lead in Super Bowl 50 and never trailed.	never [11]	not_entailment	No
101	4700	What happens if a member doesn't vote the party line?	n't [6]	Errant members can be deselected as official party candidates during future elections, and, in serious cases, may be expelled from their parties outright.		entailment	Yes
102	485	Why was the Dutch lawyer who moved to Belgium while advising a client in a social society case told he couldn't continue?	n't [21]	The Court of Justice held that the freedom to provide services applied, it was directly effective, and the rule was probably unjustified: having an address in the member state would be enough to pursue the legitimate aim of good administration of justice.	unjustified [23]	not_entailment	No
103	1170	Who said the homeless in the area would have to leave?	homeless [3]	More than 1 million people are expected to attend the festivities in San Francisco during Super Bowl Week.		not_entailment	No
104	3651	What is a trait of sequential hermaphrodites?		Most species are hermaphrodites—a single animal can produce both eggs and sperm, meaning it can fertilize its own egg, not needing a mate.	not [23]	not_entailment	No
105	921	What financial issue is notoriously prevalent in the construction field?		Cash flow problems exist when the present amount of funding cannot cover the current costs for labour and materials, and because they are a matter of having sufficient funds at a specific time, can arise even when the overall total is enough.	not [11]	not_entailment	No
106	3781	Which player did the Panthers lose to an ACL injury in a preseason game?		Carolina started the season 14–0, not only setting franchise records for the best start and the longest single-season winning streak, but also posting the best start to a season by an NFC team in NFL history, breaking the 13–0 record previously shared with the 2009 New Orleans Saints and the 2011 Green Bay Packers.	not [6]	not_entailment	No
107	326	Who is an example of a sedentary people who were not favored by the laws of the Mongol Empire?	not [10]	However, there is no evidence of this, or of the lifting of discriminatory policies towards sedentary peoples such as the Chinese.	no [4]	entailment	No
108	341	What theorem defines the main role of primes in number theory?		A natural number greater than 1 that is not a prime number is called a composite number.	not [8]	not_entailment	No
109	3089	what is Internet2		Internet2 is a not-for-profit United States computer networking consortium led by members from the research and education communities, industry, and government.	not [3]	entailment	No
110	2810	Which sculpture by Rodin was not donated by the artist?	not [5]	Rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside France; these were given to the museum by the sculptor in 1914, as acknowledgement of Britain's support of France in World War I, although the statue of St John the Baptist had been purchased in 1902 by public subscription.		entailment	Yes
111	1597	When did Luther return to Wittenberg?		He wrote to the Elector: "During my absence, Satan has entered my sheepfold, and committed ravages which I cannot repair by writing, but only by my personal presence and living word.	not [23]	not_entailment	No
112	3383	Luther treated Jews in a like way as he treated what group?		In his later years, Luther grew more hostile toward the Jews, writing against them with the kind of venom he had already unleashed on the Anabaptists, Zwinglianism, and the papacy.	unleashed [24]	entailment	No
113	917	What type of assistance to out of town students is the Muslim Brotherhood known for?		All this compares very favourably against incompetent, inefficient, or neglectful governments whose commitment to social justice is limited to rhetoric.	neglectful [12]	not_entailment	No
114	329	Name one way the Plowshares organization temporarily close GCSB Waihopai?		Brownlee notes that "although civil disobedients are constrained in their use of coercion by their conscientious aim to engage in moral dialogue, nevertheless they may find it necessary to employ limited coercion in order to get their issue onto the table.	nevertheless [24]	not_entailment	No
115	1247	What was the horsepower put out by the turbines in Waterside Power Station		On his 50th birthday in 1906, Tesla demonstrated his 200 horsepower (150 kilowatts) 16,000 rpm bladeless turbine.	bladeless [18]	not_entailment	No
116	3054	Why did French feel they had right to Ohio claim?		Saint-Pierre said, "As to the Summons you send me to retire, I do not think myself obliged to obey it.	not [18]	not_entailment	No
117	2580	How many players have been awarded the Most Valuable Player distinction for the Super Bowl?		No plans were announced regarding the recognition of Harvey Martin, co-MVP of Super Bowl XII, who died in 2001.	No [0]	not_entailment	No
118	5184	What does computational complexity theory most specifically seek to answer?		For this reason, complexity theory addresses computational problems and not particular problem instances.	not [10]	entailment	No
119	1492	What was Kenneth Swezey's job?		On one occasion at his laboratory, Tesla worked for a period of 84 hours without sleep or rest.:208 Kenneth Swezey, a journalist whom Tesla had befriended, confirmed that Tesla rarely slept.	without [15]	entailment	No
120	5060	Along with geothermal and nuclear, what is a notable non-combustion heat source?	non [10] | - [11]	In the cycle, water is heated and transforms into steam within a boiler operating at a high pressure.		not_entailment	No
121	1478	Who was exempt from the meritocratic principles of the Mongol Empire?		The Mongol Empire did not emphasize the importance of ethnicity and race in the administrative realm, instead adopting an approach grounded in meritocracy.	not [4]	not_entailment	No
122	4915	What are we unsure of about how chloroplasts make methionine precursors?		The chloroplast is known to make the precursors to methionine but it is unclear whether the organelle carries out the last leg of the pathway or if it happens in the cytosol.	unclear [13]	entailment	No
123	2430	How often does the European Council meet?		It meets each six months and its President (currently former Poland Prime Minister Donald Tusk) is meant to 'drive forward its work', but it does not itself 'legislative functions'.	not [30]	entailment	No
124	5016	The flags on the moon left by the U.S. manned Apollo missions are all still standing save for which mission's flag?		All of the U. S. flags left on the Moon during the Apollo missions were found to still be standing, with the exception of the one left during the Apollo 11 mission, which was blown over during that mission's lift-off from the lunar surface and return to the mission Command Module in lunar orbit; the degree to which these flags retain their original colors remains unknown.	unknown [71]	entailment	No
125	4432	What did Johannes Agricola preach that God's gospel revealed?		Early in 1537, Johannes Agricola (1494–1566) – serving at the time as pastor in Luther's birthplace, Eisleben – preached a sermon in which he claimed that God's gospel, not God's moral law (the Ten Commandments), revealed God's wrath to Christians.	not [35]	entailment	No
126	1559	Charles Conrad and Alan Bean were on what spacecraft to the moon?		In November 1969, Gemini veteran Charles "Pete" Conrad and rookie Alan L. Bean made a precision landing on Apollo 12 within walking distance of the Surveyor 3 unmanned lunar probe, which had landed in April 1967 on the Ocean of Storms.	unmanned [30]	entailment	No
127	2942	What is more often seen in root tip maristems?		Chloroplasts do not normally develop from proplastids in root tip meristems—instead, the formation of starch-storing amyloplasts is more common.	not [2]	entailment	No
128	4775	How much does a Probationer earn, initially?		For the salary year beginning April 2008, unpromoted teachers in Scotland earned from £20,427 for a Probationer, up to £32,583 after 6 years teaching, but could then go on to earn up to £39,942 as they complete the modules to earn Chartered Teacher Status (requiring at least 6 years at up to two modules per year.)	unpromoted [8]	entailment	No
129	1229	Peroxides, nitrates and dichromates are examples of what type of compounds?		Oxygen is the oxidant, not the fuel, but nevertheless the source of most of the chemical energy released in combustion.	not [5]	not_entailment	No
